accession_number,accession_date,title,maker,medium,description,classification,creation_date_avg
A.1.445,2013-07-01,Charles Prendergast,,photograph,black and white photograph at Crooked Mile Road.,WCMA-Prendergast,1905.5
A.1.446,2013-07-01,Eugénie Prendergast,,photograph,Black and white posed studio photo,WCMA-Prendergast,1905.5
A.1.447,2013-07-01,Eugénie Prendergast,,photograph,Black and white postcard photo,WCMA-Prendergast,1905.5
A.1.448,2013-07-01,Unidentified Prendergast male relative,,photograph,,WCMA-Prendergast,1905.5
A.1.449,2013-07-01,Unidentified female Prendergast relative,,photograph,,WCMA-Prendergast,1905.5
A.1.450,2013-07-01,Unidentified male Prendergast relative,,photograph,,WCMA-Prendergast,1905.5
A.1.422.A,2013-07-01,Charles Prendergast,,photograph,black and white photograph (smaller size of A.1.422),WCMA-Prendergast,1940.0
A.1.437.A,2013-07-01,"Charles Prendergast, Unknown, Eugénie Prendergast",,photograph,black and white photograph,WCMA-Prendergast,1944.0
A.1.303,2013-07-01,"Canal Scene, Venice",,stereograph,,WCMA-Prendergast,1905.5
A.1.304,2013-07-01,"""Piazetta"" Venice",,photograph,,WCMA-Prendergast,1899.0
A.1.305,2013-07-01,Venezia - Palazzo Pisani Moretta,,photograph,,WCMA-Prendergast,1903.0
A.1.306,2013-07-01,Venetia Bragozzi,,photograph,,WCMA-Prendergast,1903.0
A.1.307,2013-07-01,Fishing Boats in Harbor,,photograph,,WCMA-Prendergast,1903.0
A.1.308,2013-07-01,Sailing Vessel in Harbor,,photograph,,WCMA-Prendergast,1903.0
A.1.309,2013-07-01,Winter Scene,,photograph,,WCMA-Prendergast,1903.0
A.1.310,2013-07-01,Washington Square,,photograph,,WCMA-Prendergast,1903.0
A.1.311,2013-07-01,Washington Square,,photograph,,WCMA-Prendergast,1953.0
A.1.312,2013-07-01,Washington Square,,photograph,,WCMA-Prendergast,1903.0
A.1.313,2013-07-01,Firenze-Galleria Uffizi Ritratto di Don Garzia di Medici,,photograph,,WCMA-Prendergast,1903.0
A.1.314,2013-07-01,Firenze-Galleria Uffizi-testa di una Giovane,,photograph,,WCMA-Prendergast,1903.0
A.1.315,2013-07-01,Venezia- La Vergine-detta dela famige,,photograph,,WCMA-Prendergast,1898.0
A.1.316,2013-07-01,Portrait sketch of a young girl,,photograph,,WCMA-Prendergast,1903.0
A.1.317,2013-07-01,Firenze-Galleria Uffizi,,photograph,,WCMA-Prendergast,1903.0
A.1.318,2013-07-01,Firenze-Galleria Uffizi,,photograph,,WCMA-Prendergast,1903.0
A.1.319,2013-07-01,Firenze-Galleria Uffizi Carlo Odici Ritratto Claudia Felicia,,photograph,,WCMA-Prendergast,1903.0
A.1.320,2013-07-01,Firenze-Galleria Pitti,,photograph,,WCMA-Prendergast,1903.0
A.1.321,2013-07-01,Firenze-Galleria Di Donna Detta La?,,photograph,,WCMA-Prendergast,1903.0
A.1.322,2013-07-01,Firenze-Galleria Uffizi Ritratto di Donna Credesi Lucrezia del Fede Moglie di Andrea del Sarto,,photograph,,WCMA-Prendergast,1903.0
A.1.323,2013-07-01,Firenze-Galleria Pier Della Francesca,,photograph,,WCMA-Prendergast,1903.0
A.1.324,2013-07-01,Firenze-Galleria Uffizi (Francesco Clouet),,photograph,,WCMA-Prendergast,1903.0
A.1.325,2013-07-01,Firenze-Galleria Uffizi Principessa Claudia De' Medici,,photograph,,WCMA-Prendergast,1903.0
A.1.326,2013-07-01,Firenze-Galleria Maria Stuarda,,photograph,,WCMA-Prendergast,1903.0
A.1.327,2013-07-01,Firenze-Galleria Pitti (Angiolo Bronzino),,photograph,,WCMA-Prendergast,1903.0
A.1.328,2013-07-01,Portrait of a Young Man,,photograph,,WCMA-Prendergast,1903.0
A.1.329,2013-07-01,Firenze Galleria Uffizi Fatto Da Se Stesso,,photograph,,WCMA-Prendergast,1905.5
A.1.330,2013-07-01,Firenze-Galleria Uffizi Di Pinto Da Se Stesso,,photograph,,WCMA-Prendergast,1905.5
A.1.331,2013-07-01,"Portrait of a Man, Battista Moroni?",,photograph,,WCMA-Prendergast,1905.5
A.1.332,2013-07-01,Firenze- R. Galleria Uffizi Dipinto Da Se Stesso,,photograph,,WCMA-Prendergast,1905.5
A.1.333,2013-07-01,Firenze-Galleria Pitti Vircle (Morone?),,photograph,,WCMA-Prendergast,1905.5
A.1.334,2013-07-01,Firenze-Galleria Corsini Un Uomo in Costume Veneziano,,photograph,2 prints,WCMA-Prendergast,1905.5
A.1.335,2013-07-01,Firenze-Galleria Pitti (B. Vander Helst),,photograph,,WCMA-Prendergast,1905.5
A.1.336,2013-07-01,"Portrait of a Man, 3/4 length (Dutch)",,photograph,,WCMA-Prendergast,1905.5
A.1.337,2013-07-01,Framed portrait B. Palissy,,photograph,Recto and verso frame sketches in pencil by Maurice Prendergast.,WCMA-Prendergast,1818.0
A.1.338,2013-07-01,Musée de Cluny,,photograph,Verso sketches in pencil and ink by M. Prendergast,WCMA-Prendergast,1817.0
A.1.339,2013-07-01,Firenze- Galleria Pitti Col Fratello EJ Filosofi Guisto Lipsio E Grozio (P.P. Rubens),,photograph,,WCMA-Prendergast,1905.5
A.1.340,2013-07-01,Unidentified painting of a man,,photograph,,WCMA-Prendergast,1905.5
A.1.341,2013-07-01,Siena. Musee dell'Opera del Duomo. La Crocifissione i storia,,photograph,,WCMA-Prendergast,1905.5
A.1.342,2013-07-01,Padova-Cappella degli Scrovegni all'Arena. La Vergine Col Figlio: Alfresco vel coro (Scuola di giotto),,photograph,,WCMA-Prendergast,1905.5
A.1.343,2013-07-01,Padova - Cappella degli Scrovegni All'Arena (giotto),,photograph,(Ed. ne Alinari),WCMA-Prendergast,1905.5
A.1.344,2013-07-01,Firenze - Chiesa Di S. Croce. Dettaglio del Quadro L'incorazione della Vergine (giotto),,photograph,,WCMA-Prendergast,1905.5
A.1.345,2013-07-01,Padova - Cappella degli Scrovegni all' Arena. La Fuga in Egitto (Giotto),,photograph,(Ed. ne Alinari),WCMA-Prendergast,1905.5
A.1.346,2013-07-01,Assisi - Umbria. (Giotto di Bondone).,,photograph,(Ed. ne Alinari Pe. 2a.),WCMA-Prendergast,1905.5
A.1.347,2013-07-01,Padova - Cappella Scrovegni - Giotto - S. Gioachino,,photograph,,WCMA-Prendergast,1905.5
A.1.348,2013-07-01,Forli-ginnasio. La Fuga in Egitto i la Presentazione Al Tempio (Palmezzano),,photograph,,WCMA-Prendergast,1905.5
A.1.349,2013-07-01,Firenze- Museu - Nazionale - L'Apparizione di Gesù alla Maddalena i Ambrogio Lorenzelli,,photograph,(Ed. ni Brogi),WCMA-Prendergast,1905.5
A.1.350,2013-07-01,La disputa di S. Caterina - App. Borgia,,photograph,,WCMA-Prendergast,1905.5
A.1.351,2013-07-01,Museo Nazionale. Madonna and Child,,photograph,,WCMA-Prendergast,1905.5
A.1.352,2013-07-01,Firenze-Museo di. S. Maria del Fiore,,photograph,(Ed ne Alinari) P.e. 2a,WCMA-Prendergast,1905.5
A.1.353,2013-07-01,Palermo-Museo Nazionale (Edizioni Brogi),,photograph,,WCMA-Prendergast,1905.5
A.1.354,2013-07-01,Ravenna-Madonna Greca in S. Maria in Porto Fot. Ricci (?),,photograph,,WCMA-Prendergast,1905.5
A.1.355,2013-07-01,Relief carving Madonna with angel and Saint.,,photograph,,WCMA-Prendergast,1905.5
A.1.356,2013-07-01,Firenze- R. Museo Nazionale. Fanciulli Che Suonano i Santano Iluca della Robbia,,photograph,,WCMA-Prendergast,1905.5
A.1.357,2013-07-01,Firenze- R. Museo Nazionale. Fanciulli Che Suonano i Santano Iluca della Robbia,,photograph,Duplicate copy of A.1.356,WCMA-Prendergast,1905.5
A.1.358,2013-07-01,Two wooden panels of Christ,,photograph,,WCMA-Prendergast,1905.5
A.1.359,2013-07-01,Scenes from the life of Christ,,photograph,,WCMA-Prendergast,1905.5
A.1.360,2013-07-01,Edizione inalterabile Firenze-Adorazione dei Magi- Boticelli- Gall. Uffizi,,photograph,,WCMA-Prendergast,1905.5
A.1.361,2013-07-01,Fiesole- Contorni. Onatorio di S. Ansano. Il Trionfo della astila (Boticelli),,photograph,(Ed. ne Alinari),WCMA-Prendergast,1905.5
A.1.362,2013-07-01,Gloria in Excelsis Deo. Firenze- Chiesa di S. Spirito La Nativita (Boticelli?),,photograph,,WCMA-Prendergast,1905.5
A.1.363,2013-07-01,Milano - Trittico - La Vergine Col Bambino i quattro Santi Crivelli Brera Anderson- Roma,,photograph,,WCMA-Prendergast,1905.5
A.1.364,2013-07-01,Museo Nationale Cassone nunziale con pitture (XIV secolo),,photograph,(Ed. no Alinari),WCMA-Prendergast,1905.5
A.1.365,2013-07-01,Firenze-Capella del Palazzo Riccardi Il Paradiso (Benozzo Gozzoli),,photograph,(Ed. ne Alinari),WCMA-Prendergast,1905.5
A.1.366,2013-07-01,Pisa-Maledizione di Camdi Benozzo Gozzoli,,photograph,,WCMA-Prendergast,1905.5
A.1.367,2013-07-01,Firenze- Academia di Belle Arti - Le Nozzi di Cana: Beato Angelico,,photograph,,WCMA-Prendergast,1905.5
A.1.368,2013-07-01,Firenze gall degli Arazzi Storia di David e Bersebea Arazzo Del Sec XV,,photograph,,WCMA-Prendergast,1905.5
A.1.369,2013-07-01,Venezia - Temperanza e Prudenza - Chiesa di S. Marco. Riproduzione interdetta - Anderson - Roma,,photograph,,WCMA-Prendergast,1905.5
A.1.370,2013-07-01,Venezia - L'incoronazione Della Vergine con vari fatti di gesù e S. Francesco,,photograph,,WCMA-Prendergast,1905.5
A.1.371,2013-07-01,Venezia - La Vergine et Santi Simone da Cusighe - R. Acad.,,photograph,,WCMA-Prendergast,1905.5
A.1.372,2013-07-01,"Torcello - Cattedrale. Il Giudizio Universale, Maya Venezia",,photograph,,WCMA-Prendergast,1905.5
A.1.373,2013-07-01,Mosaic of Five saints,,photograph,,WCMA-Prendergast,1905.5
A.1.374,2013-07-01,Two saints,,photograph,,WCMA-Prendergast,1905.5
A.1.375,2013-07-01,Four saints (interior cathedral?),,photograph,,WCMA-Prendergast,1905.5
A.1.376,2013-07-01,The Trinity with saints in circular pattern. Ravenna.,,photograph,,WCMA-Prendergast,1905.5
A.1.377,2013-07-01,A. citta di castello-pinacoteca L'Annunziazione (Dei della Robbia),,photograph,(Ed. ne Alinari),WCMA-Prendergast,1905.5
A.1.378,2013-07-01,Cortona - chies a del gesù L'Annunziazione (Beato Angelico),,photograph,(Ed. ne Alinari),WCMA-Prendergast,1905.5
A.1.379,2013-07-01,Venezia - Martirio di S. Orsola - Carpaccio - R. Accademia - Anderson - Roma,,photograph,,WCMA-Prendergast,1905.5
A.1.380,2013-07-01,Firenze gall. degli arazzi. Feste di Enrico II E. Caterina del Medici arazzo fiammingo della meta del Sec XV,,photograph,,WCMA-Prendergast,1905.5
A.1.381,2013-07-01,Ferrara Dettaglio degli affreschi del Palazzo Schitanoja Reproduzione interdetta - Anderson -Roma,,photograph,,WCMA-Prendergast,1905.5
A.1.382,2013-07-01,Ferrara Borso che regala una moneta al buffone. Palazzo Schifanoja.,,photograph,,WCMA-Prendergast,1905.5
A.1.383,2013-07-01,Ravenna. Croce d'argento di S. Agnello (VI secolo) nella cattedrale. Fot. Bieci (?),,photograph,,WCMA-Prendergast,1905.5
A.1.384,2013-07-01,Interwoven crosses,,photograph,,WCMA-Prendergast,1905.5
A.1.385,2013-07-01,Roma Museo Nazionale. Mosaici con soggetti mitologici,,photograph,(Ed. ni Brogi),WCMA-Prendergast,1905.5
A.1.386,2013-07-01,"Pinturacchio, Venezia. Two female figures.",,photograph,,WCMA-Prendergast,1905.5
A.1.387,2013-07-01,"G.B. Brusa. Two male nudes. One seated playing the flute, one standing.",,photograph,,WCMA-Prendergast,1905.5
A.1.388,2013-07-01,Standing male figure with sword (back view),,photograph,,WCMA-Prendergast,1905.5
A.1.390,2013-07-01,Venus par Albano à Rôme,,photograph,,WCMA-Prendergast,1905.5
A.1.451,2013-07-01,Carvings of peacocks and grapevines,,photograph,,WCMA-Prendergast,1905.5
A.1.452,2013-07-01,"Carving of birds, tree on left, and religious figure 3/4 length on right",,photograph,,WCMA-Prendergast,1905.5
A.1.453,2013-07-01,The Metropolitan Museum of Art (serial no. 08.181.56E) grapevine fragments,,photograph,,WCMA-Prendergast,1905.5
A.1.454,2013-07-01,Musée de Cluny relief carving,,photograph,,WCMA-Prendergast,1905.5
A.1.455,2013-07-01,Musée de Cluny chest with carvings,,photograph,,WCMA-Prendergast,1905.5
A.1.456,2013-07-01,Musée de Cluny carved panel,,photograph,,WCMA-Prendergast,1905.5
A.1.457,2013-07-01,Carved panels of 6 saints on medallions,,photograph,,WCMA-Prendergast,1905.5
A.1.458,2013-07-01,Relief carvings of robed figures,,photograph,,WCMA-Prendergast,1905.5
A.1.459,2013-07-01,Full length circular carving of female saint,,photograph,,WCMA-Prendergast,1905.5
A.1.460,2013-07-01,Rectangular relief carving with 5 non-western figures,,photograph,,WCMA-Prendergast,1905.5
A.1.461,2013-07-01,70 Musée de Cluny - armed warriors in profile,,photograph,,WCMA-Prendergast,1905.5
A.1.462,2013-07-01,Wood panel with relief carving of young girl,,photograph,,WCMA-Prendergast,1905.5
A.1.463,2013-07-01,Wood panel with relief carving of female,,photograph,,WCMA-Prendergast,1905.5
A.1.464,2013-07-01,The Metropolitan Museum of Art. Sarcophagus.,,photograph,,WCMA-Prendergast,1905.5
A.1.465,2013-07-01,Interior view of cathedral,,photograph,,WCMA-Prendergast,1905.5
A.1.466,2013-07-01,Firenze. - Interior of Palazzo Vecchio,,photograph,,WCMA-Prendergast,1905.5
A.1.467,2013-07-01,"Ravenna, Museo Bizantino",,photograph,,WCMA-Prendergast,1905.5
A.1.468,2013-07-01,Bras de Croix en Ivorie,,photograph,,WCMA-Prendergast,1905.5
A.1.469,2013-07-01,Musée de Cluny. Chest,,photograph,,WCMA-Prendergast,1905.5
A.1.470,2013-07-01,Carved chest - sarcophagus,,photograph,,WCMA-Prendergast,1905.5
A.1.471,2013-07-01,The Metropolitan Museum of Art. Sarcophogus,,photograph,,WCMA-Prendergast,1905.5
A.1.472,2013-07-01,The Metropolitan Museum of Art. 2 small chests.,,photograph,,WCMA-Prendergast,1905.5
A.1.473,2013-07-01,Carved chest,,photograph,,WCMA-Prendergast,1905.5
A.1.474,2013-07-01,The Metropolitan Museum of Art. Carved table.,,photograph,,WCMA-Prendergast,1905.5
A.1.475,2013-07-01,Musée de Cluny,,photograph,,WCMA-Prendergast,1905.5
A.1.476,2013-07-01,Musée de Cluny. Large wooden chest.,,photograph,,WCMA-Prendergast,1905.5
A.1.477,2013-07-01,Musée de Cluny. Fireplace & Plates.,,photograph,,WCMA-Prendergast,1905.5
A.1.478,2013-07-01,Musée de Cluny. Fireplace with carved figures on mantle.,,photograph,,WCMA-Prendergast,1905.5
A.1.479.a,2013-07-01,The Metropolitan Museum of Art. 3 carved strips of vine-like pattern.,,photograph,,WCMA-Prendergast,1905.5
A.1.479.b,2013-07-01,The Metropolitan Museum of Art. Three strips with grapevine pattern.,,photograph,,WCMA-Prendergast,1905.5
A.1.480.a,2013-07-01,The Metropolitan Museum of Art. Decorated frames.,,photograph,,WCMA-Prendergast,1905.5
A.1.480.b,2013-07-01,The Metropolitan Museum of Art. Decorated frames.,,photograph,,WCMA-Prendergast,1905.5
A.1.480.c,2013-07-01,The Metropolitan Museum of Art. Decorated frames.,,photograph,,WCMA-Prendergast,1905.5
A.1.481,2013-07-01,Reproduction (of one side) - Cretan - 1350 B.C. Sarcophagus,,,photograph,WCMA-Prendergast,1905.5
A.1.482,2013-07-01,Sarcophagus. Reproduction (of one side) Cretan 1350 B.C.,,,photograph,WCMA-Prendergast,1905.5
A.1.483,2013-07-01,Figure in profile with highly patterned dress & borders,,,photograph,WCMA-Prendergast,1905.5
A.1.484,2013-07-01,Greek vase with decorative patterns & figures,,,photograph,WCMA-Prendergast,1905.5
A.1.485,2013-07-01,Korin Ogata (Hoshiku) Waves by Baldwin Coolidge Photographer,,,photograph,WCMA-Prendergast,1905.5
A.1.486,2013-07-01,Oriental Plate with female figure holding small cup surrounded by floral design.,,,photograph,WCMA-Prendergast,1905.5
A.1.487,2013-07-01,Oriental plate with 5 standing figures behind a horse with figure sitting with head down and drowning figure on bottom,,,photograph,WCMA-Prendergast,1905.5
A.1.488,2013-07-01,Oriental scene: figures fighting with swords on horseback with floral detail.,,,photograph,WCMA-Prendergast,1905.5
A.1.489,2013-07-01,Fragment of dogs hunting a wild boar,,photographic reproduction,,WCMA-Prendergast,1905.5
