id,accession_number,accession_date,title,maker,medium,description,classification,creation_date_avg
76,92.5.30.C,1992-01-01,The Giant Slotters,David Muirhead Bone,print,,WCMA-PRINTS,1917.0
77,92.5.30.F,1992-01-01,Night Shift Working the Great Gun,David Muirhead Bone,print,,WCMA-PRINTS,1917.0
79,82.21.6.K,1982-01-01,"Untitled (from ""The Gates to Times Square"")",CHRYSSA,color silkscreen on paper,,WCMA-PRINTS,1957.5
80,92.22.48,1992-01-01,Shelter Island,Joe Maloney,type C color print,,WCMA-PHOTO,1978.0
82,80.25.3.A,1980-01-01,"Upon the Pun: Dual Meaning in Words and Pictures (from ""The Domestic Life of the Rainbow"")",Paul Hammond,book,,WCMA-DEC ARTS,1978.0
83,80.25.3.G,1980-01-01,"Untitled (from ""The Domestic Life of the Rainbow"")",Patrick Hughes,color silkscreen on paper,,WCMA-PRINTS,1979.0
85,60.39.6.D,1960-01-01,Amulet of Apet,Egyptian,faience,,WCMA-ANCIENT,0.0
87,81.13.65,1981-01-01,Jets,Julian Trevelyan,color etching on paper,,WCMA-PRINTS,1974.0
92,76.37.15.A,1976-01-01,Cross Pendant,Macedonia,bronze,,WCMA-ANCIENT,0.0
93,75.43.38.D,1975-01-01,Genii,Egyptian,faience,rust and gold polychrome on blue,WCMA-ANCIENT,-150.0
94,87.19.13,1987-12-16,"Untitled (from ""Chiaroscuro"")",Ralph Gibson,gelatin silver print,,WCMA-PHOTO,1981.0
95,87.19.2,1987-12-16,"Untitled (from ""Chiaroscuro"")",Ralph Gibson,gelatin silver print,,WCMA-PHOTO,1972.0
96,87.19.7,1987-12-16,"Untitled (from ""Chiaroscuro"")",Ralph Gibson,gelatin silver print,,WCMA-PHOTO,1979.0
97,92.22.60,1992-01-01,"IMP Structure (from ""Pink Duality Series"")",Thomas Francis Barrow,photograph,,WCMA-PHOTO,1973.0
101,77.9.15,1977-01-01,Calligraphic,Mark Tobey,tempera on board,,WCMA-PAINTING,1956.0
103,74.7.E,1974-01-01,"Temperature (from ""Earth Projects"")",Robert Morris,color lithograph,,WCMA-PRINTS,1969.0
104,84.30.D,1984-01-01,"Paesaggio, Baia Delle Zagare (from ""Color Nature Landscapes I"")",Franco Fontana,Cibachrome,,WCMA-PHOTO,1970.0
105,84.30.J,1984-01-01,"Clouds Forming Over Mt. Baker, Washington (from ""Color Nature Landscapes I"")",Eliot Furness Porter,Cibachrome,,WCMA-PHOTO,1975.0
106,95.5.3,1995-05-13,Landscape,Lo Fong,ink on paper,,WCMA-EASTERN,1965.0
107,82.18.21,1982-01-01,"Untitled: arm, breast and hand (from ""If and Silk"")",Ralph Gibson,gelatin silver print,,WCMA-PHOTO,1975.0
108,82.18.24,1982-01-01,"Untitled (from ""If and Silk"")",Ralph Gibson,gelatin silver print,,WCMA-PHOTO,1978.0
109,82.18.25,1982-01-01,"Untitled: breast and arm (from ""If and Silk"")",Ralph Gibson,gelatin silver print,,WCMA-PHOTO,1978.0
110,93.1.12.I,1993-01-01,Fragment of Amulet (?) of Tuamutef [or Anubis],Egyptian,glass,"pressed into a mold. Tuamutef - Mummiform figure with the head of a jackal (or dog?). One of the four sons of Horus. Protected the stomach of the dead, which was embalmed in the third canopic jar.-Alan W. Shorter,""The Egyptian Gods"", p.143.  Anubis - Man with the head of a jackal.",WCMA-ANCIENT,0.0
111,88.2.4,1988-01-01,12 Xerox Studies for Dishware,Ken Friedman,prints,,WCMA-PRINTS,1978.5
112,88.2.4.B,1988-01-01,"Study for Dishware: ""The Elements""",Ken Friedman,xerox on paper,,WCMA-PRINTS,1987.0
113,88.2.4.J,1988-01-01,Study for Geometer's Chess,Ken Friedman,xerox on paper,,WCMA-PRINTS,1987.0
114,88.2.4.K,1988-01-01,Study for Geometer's Chess,Ken Friedman,xerox on paper,,WCMA-PRINTS,1987.0
115,93.1.48,1993-01-01,Intaglio with standing figure,Anonymous,glass?,"translucent, yellow",WCMA-ANCIENT,0.0
116,RC.22.12,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
117,99.1.26,1999-03-05,Let Us Have A Clean Sweep All Around New York.,Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,1881.0
118,RC.17.47,1993-01-01,Sketch of a foot,Isabelle Makepeace,pencil on paper,,WCMA Reserve Collection,1950.0
119,49.17.104,1949-01-01,Harper's Weekly Page with three cartoons attached,Thomas Nast,wood engravings on newsprint,,WCMA-PRINTS,1896.0
120,49.17.104.A,1949-01-01,"The British Lion Hopes To Lionize The Great South-African Lion Tamer, In London",Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,1896.0
123,79.60.I,1979-01-01,"Untitled (from ""2 x 5 Bats"")",Dieter Roth,color lithograph on paper,,WCMA-PRINTS,1978.0
126,94.24.13,1994-12-20,Tuts Fever Neckpiece,Red Grooms,"18K vermeil, sapphire",,WCMA-DEC ARTS,0.0
128,87.14.2,1987-01-01,La Vue (from the Five Senses),Pierre Alexandre Aveline,etching on paper,,WCMA-PRINTS,1735.0
129,87.14.3,1987-01-01,Le Gout (from the Five Senses),Pierre Alexandre Aveline,etching on paper,,WCMA-PRINTS,1735.0
130,87.16.95,1987-01-01,Animal sculpture,Wayne Wadhams,gelatin silver print,,WCMA-PHOTO,1981.0
131,62.41.72,1962-01-01,"Animal Locomotion, Plate #780",Eadweard Muybridge,collotype,,WCMA-PHOTO,1887.0
132,81.12.1.L,1981-01-01,"Untitled (from ""Dogs"")",Dieter Roth,color print,,WCMA-PRINTS,1979.0
134,99.1.241,1999-03-05,The Press Spies Dogging One's Footsteps.,Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,1874.0
135,68.38,1968-01-01,Portrait of Harriet Walton Dunbar,Alice Kent Stoddard,oil on canvas,,WCMA-PAINTING,1912.0
136,65.19,1965-01-01,Tobacco Box,American,tin,,WCMA-DEC ARTS,1750.0
137,91.24.D,1991-01-01,"D4 (from First Light, Series D)",JamesTurrell,etching and aquatint on paper,,WCMA-PRINTS,1989.5
139,79.48.B,1979-01-01,"Untitled (from ""Album"")",Allen Jones,color lithograph on paper,,WCMA-PRINTS,1971.0
140,39.4.2,1939-01-01,Side Chair,American,wood | upholstery,,WCMA-DEC ARTS,1905.0
143,95.4.76,1995-03-03,Approaching Storm,Maurice Brazil Prendergast,oil on panel,,WCMA-Prendergast,1903.0
144,96.35.14,1996-12-27,"Untitled (from ""Son of Bitch"")",Elliott Erwitt,gelatin silver print,,WCMA-PHOTO,1974.0
146,92.27.E,1992-12-21,"Wedding - Hands Around Back, N.Y.C. - January, 1988 (from ""Social Context"")",Larry Fink,gelatin silver print,,WCMA-PHOTO,1988.0
147,92.27.H,1992-12-21,"Military Apparition, N.Y.C. - September, 1987 (from ""Social Context"")",Larry Fink,gelatin silver print,,WCMA-PHOTO,1987.0
148,79.63.1,1979-01-01,Vowels-AEIOU,Joe Tilson,"screenprint on plywood board, with collage and assemblage",,WCMA-SCULPTURE,1970.0
149,79.53.E,1979-01-01,"Untitled (from ""Struggle in the West: The Bombing of London"")",Ronald B. Kitaj,color screenprint on paper,,WCMA-PRINTS,1968.0
151,37.2.9,1937-01-01,Bords de la Tamise,Maxime Lalanne,etching on paper,,WCMA-PRINTS,1856.5
153,84.32.11,1984-01-01,Cloth with leaf design,Anonymous (Turkish),silk,,WCMA-EASTERN,0.0
155,82.21.6.E,1982-01-01,"Untitled (from ""The Gates to Times Square"")",CHRYSSA,color silkscreen on paper,,WCMA-PRINTS,1957.5
157,77.53.30,1977-01-01,Untitled (D. XX),Richard Howard Hunt,screenprint on paper,,WCMA-PRINTS,1974.0
158,EL.84.24.4,,Untitled,Olivier Mosset,enamel on canvas,per loan agreement,WCMA-PAINTING,1983.0
159,RC.7.7,1982-01-01,"OURS.. to fight for, Freedom from want",Norman Rockwell,poster,,WCMA Reserve Collection,1940.0
160,39.1.414,1939-01-01,Debout dans la tranchée..,Jean Droit,poster,,WCMA-PRINTS,1919.5
162,37.2.79,1937-01-01,À Veuilly (Seine),Maxime Lalanne,etching on paper,,WCMA-PRINTS,1861.5
164,88.3,1988-01-01,Vortex,William Ramage,graphite and ink on paper,,WCMA-DRAWING,1987.0
165,75.27.E,1975-11-25,"George Burroughs (from ""Witches of Salem"")",Thom O'Connor,etching on paper,,WCMA-PRINTS,1972.0
166,83.19.F,1983-01-01,"Untitled (from ""TOD: Cage without bars"")",Julian Schnabel,aquatint and etching,,WCMA-PRINTS,1983.0
167,81.12.1.D,1981-01-01,"Untitled (from ""Dogs"")",Dieter Roth,color print,,WCMA-PRINTS,1979.0
168,81.12.1.B,1981-01-01,"Untitled (from ""Dogs"")",Dieter Roth,color print,,WCMA-PRINTS,1979.0
169,81.12.1.C,1981-01-01,"Untitled (from ""Dogs"")",Dieter Roth,color print,,WCMA-PRINTS,1979.0
170,80.13.13,1980-01-01,Abstract Composition,Abraham Walkowitz,pencil on paper,visible watermark: ANIMATION BOND,WCMA-DRAWING,1934.5
172,76.6.C,1976-01-01,Book and Mirror,William H. Giersbach,mixed media,,WCMA-SCULPTURE,1975.5
173,77.52.7,1977-01-01,"Midnight + Noon VII (from the portfolio ""Midnight and Noon"")",Josef Albers,color lithograph on paper,,WCMA-PRINTS,1964.0
176,92.3.15,1992-01-01,"Life's little jokes-- number 735,962",Rube Goldberg,pen and ink on paper,,WCMA-DRAWING,1926.5
178,76.37.15.B,1976-01-01,Cross Pendant,Macedonia,bronze,,WCMA-ANCIENT,0.0
179,RC.15.7,1992-01-01,Project Model of Lawrence Hall: after completion of Phase II expansion,Amanda Merullo,color photograph,,WCMA Reserve Collection,1986.0
180,77.52.5,1977-01-01,"Midnight + Noon V (from the portfolio ""Midnight and Noon"")",Josef Albers,color lithograph on paper,,WCMA-PRINTS,1964.0
181,94.1.43,1994-01-01,Lampas with floral pattern,French?,embroidered silk brocade,green ground; dark green backing; striped brocaded gros de Tours-style silk with embroidery,WCMA-DEC ARTS,1760.0
183,SEG.10.21,1903-01-01,Grave pot,Egyptian,terracotta,"Excavated by W.M. Flinders Petrie in 1903-04 at Abydos and sent to Williams in 1906.The Egyptologist Flinders Petrie was the first to organize pottery, using clay, surface treatment, and shape as the basic criteria in his corpus for dating Predynastic vessels. Petrie's categories are not completely consistent.  He did not always separate clay material from technological aspects, but the categories were logical, and so scholars still use them today.  Predynastic pottery is made from either Nile clay or marl clay.  The first produces a red, brown, or black surface when fired, while the second generate a hard dense fabric of white, green, orange, or beige.  Marl clay was not used prior to Naqada II (ca. 3600 B.C.), and its introduction in the pottery repertoire marked a significant innovation in how some vessels were subsequently produced.  The consistency among form and decoration of marl clay vessels indicates that for the first time, specialist - not local potters - manufacture pottery.  The method used by a potter to prepare the vessel's surface also characterized the finished vessel.  Slipping burnishing, polishing, and applied decoration were all used to finish Predynastic pottery.  Firing temperatures and conditions also created differences in a vessel's final appearance. ",WCMA-ANCIENT,-3400.0
184,76.37.15.E,1976-01-01,Cross Pendant,Macedonia,bronze,,WCMA-ANCIENT,0.0
185,81.24.21,1981-01-01,Hand-propelled rackmobile for carrying home winnings from quiz programs,Rube Goldberg,pencil and typewritten on paper,,WCMA-DRAWING,1960.0
186,91.18.23,1991-01-01,Deer Hunt,Maurice Brazil Prendergast,watercolor and pencil on paper,,WCMA-Prendergast,1913.5
188,62.32.10,1962-01-01,Shawabti,Egyptian,faience,green,WCMA-ANCIENT,-680.0
189,82.21.3.G,1982-01-01,Star Space Nightlight Sun Center by Earth Degree,Charles Ross,color silkscreen on paper,,WCMA-PRINTS,1980.0
191,56.16.4.B,1956-01-01,"Cart decoration, ""Holy Family""",Anonymous (Italian),painted wood,,WCMA-SCULPTURE,0.0
193,59.21.13.B,1959-01-01,Ring with Eye of Horus,Egyptian,faience,bright blue,WCMA-ANCIENT,0.0
194,84.4,1984-01-01,Sally,Beth Van Hoesen,"color drypoint, etching and aquatint on paper",,WCMA-PRINTS,1979.0
196,1887.1.58,1887-01-01,"Copy from Turner, directed by Ruskin",Esther Francesca Alexander,watercolor on paper,,WCMA-DRAWING,1862.0
197,87.16.49,1987-01-01,Male head,Wayne Wadhams,gelatin silver print,,WCMA-PHOTO,1978.0
199,88.2.5,1988-01-01,Suite of drawings for pitchers (7 drawings),Ken Friedman,ink on vellum,see 88.2.5.A-G,WCMA-DRAWING,1987.0
201,92.5.30.B,1992-01-01,Table of Contents for Munition Drawings,David Muirhead Bone,print,,WCMA-PRINTS,1917.0
202,82.22.29,1982-01-01,Composition #2,Don Fink,oil on paper,,WCMA-DRAWING,1956.0
203,78.38.34,1978-01-01,"Pig or Person, It's the Same, Fortune Plays a Funny Game (from ""General Dynamic F.U.N."")",Eduardo Luigi Paolozzi,color photo lithograph on paper,,WCMA-PRINTS,1968.0
204,87.16.50,1987-01-01,Male head,Wayne Wadhams,gelatin silver print,,WCMA-PHOTO,1978.0
205,79.48.D,1979-01-01,"Untitled (from ""Album"")",Allen Jones,color lithograph on paper,,WCMA-PRINTS,1971.0
206,26.1.A,1926-01-01,"Title page (From ""Six Etchings of Williamstown"")",Louis Orr,etching,,WCMA-PRINTS,1925.0
207,RC.15.1,1992-01-01,"Lawrence Hall, interior",Anonymous (American),photograph,copy of historical photo,WCMA Reserve Collection,0.0
208,83.24.10,1983-01-01,"Drawing for ""Body Wall""",Vito Acconci,graphite on graph paper,,WCMA-DRAWING,1983.0
209,37.2.144,1937-01-01,Evening on the Common,Thomas Creswick,etching on paper,,WCMA-PRINTS,0.0
210,82.8.1,1982-01-01,"Dhanasri Ragini, Page from a Dispersed Ragamala Set",Rajasthan,"opaque watercolor on paper, heightened with gold",,WCMA-EASTERN,1710.0
212,79.48.E,1979-01-01,"Untitled (from ""Album"")",Allen Jones,color lithograph on paper,,WCMA-PRINTS,1971.0
213,79.48.F,1979-01-01,"Untitled (from ""Album"")",Allen Jones,color lithograph on paper,,WCMA-PRINTS,1971.0
214,69.8,1969-01-01,Bouillote Table,French,mahogany veneer,,WCMA-DEC ARTS,1780.0
215,39.4.8,1939-01-01,Side Chair,American,wood,,WCMA-DEC ARTS,1892.5
216,79.61.A,1979-01-01,"Title sheet (from ""2 x 5 Trophies"")",Dieter Roth,color lithograph on paper,,WCMA-PRINTS,1978.0
217,EL.86.5.1,,Brooklyn Museum,Anonymous (American),blueprint,,WCMA-PRINTS,1984.0
220,74.7.I,1974-01-01,"Hedges and Gravel (from ""Earth Projects"")",Robert Morris,color lithograph,,WCMA-PRINTS,1969.0
222,26.1.C,1926-01-01,"Stetson Library (from ""Six Etchings of Williamstown"")",Louis Orr,etching,,WCMA-PRINTS,1926.0
223,26.1.F,1926-01-01,"Thompson Memorial Chapel (from ""Six Etchings of Williamstown"")",Louis Orr,etching,,WCMA-PRINTS,1926.0
226,96.35.10,1996-12-27,"Untitled (from ""Son of Bitch"")",Elliott Erwitt,gelatin silver print,,WCMA-PHOTO,1974.0
227,96.35.12,1996-12-27,"Untitled (from ""Son of Bitch"")",Elliott Erwitt,gelatin silver print,,WCMA-PHOTO,1974.0
228,94.5,1994-05-02,"Selma Marchers Approaching Montgomery, Alabama",James H. Karales,silver print,,WCMA-PHOTO,1965.0
229,78.31.25,1978-01-01,Netsuke Depicting an Elder,Japanese,ivory,,WCMA-EASTERN,1725.0
230,85.41.4,1985-01-01,Dial Set Six,Gordon House,color screenprint on paper,,WCMA-PRINTS,1966.0
233,91.24,1991-01-01,First Light (Series D),JamesTurrell,prints,see individual screens 91.24.A-D,WCMA-PRINTS,1989.5
234,80.30.4,1980-01-01,Areas Contrasted,William Scott,color screenprint on paper,,WCMA-PRINTS,1972.0
235,91.15.21,1991-01-01,Taming an Elephant,Rajasthan,"brush and black ink on paper, heightened with colored washes",,WCMA-EASTERN,1730.0
236,39.4.7,1939-01-01,Side Chair,American,wood,,WCMA-DEC ARTS,1892.5
237,83.34.15.G,1983-01-01,"Feet 102 (from ""75th Anniversary Portfolio"")",Aaron Siskind,gelatin silver print,,WCMA-PHOTO,1957.0
239,78.51.59,1978-01-01,Askeaton Abbey,William M. Lawrence,albumen print,,WCMA-PHOTO,1871.0
241,91.38.C,1991-01-01,"Place des Vosges, Paris (from Survey 1986)",Edouard Boubat,gelatin silver print,,WCMA-PHOTO,1979.0
242,92.5.11,1992-01-01,Untitled plate from a set of prints of architectural ornament,Anonymous,engraving and mezzotint,,WCMA-PRINTS,0.0
243,92.5.9,1992-01-01,Untitled plate from a set of prints of architectural ornament,Anonymous,engraving and mezzotint,,WCMA-PRINTS,0.0
246,57.27.F,1957-01-01,Orvieto,John Ruskin,pencil on blue-grey paper,,WCMA-DRAWING,1872.0
248,92.21.15,1992-01-01,Venice,Harry Morey Callahan,dye transfer print,,WCMA-PHOTO,1957.0
249,67.2,1967-01-01,Paysage à la folle,Jean Dubuffet,lithograph on paper,,WCMA-PRINTS,1953.0
250,56.16.4.A,1956-01-01,"Cart decoration, ""St. George, Equestrian""",Anonymous (Italian),painted wood,,WCMA-SCULPTURE,0.0
251,83.24.21,1983-01-01,"Drawing for ""Body Wall""",Vito Acconci,graphite on graph paper,,WCMA-DRAWING,1983.0
252,83.34.7,1983-01-01,Prava (Corsica),André Kertész,gelatin silver print,,WCMA-PHOTO,1932.0
253,81.1.13.A,1981-01-01,Lonnie's Moods: Untitled,Neil Rappaport,gelatin silver print,,WCMA-PHOTO,1968.0
254,81.1.13.B,1981-01-01,Lonnie's Moods: Untitled,Neil Rappaport,gelatin silver print,,WCMA-PHOTO,1968.0
256,39.1.331,1939-01-01,Pour le suprême effort,Marcel Falter,poster,,WCMA-PRINTS,1918.0
257,93.1.15.E,1993-01-01,Scarab Amulet,Egyptian,faience?,light green color,WCMA-ANCIENT,0.0
258,81.1.14.A,1981-01-01,Lonnie Telling Stories: Farming It,Neil Rappaport,gelatin silver print,,WCMA-PHOTO,1978.0
259,91.24.C,1991-01-01,"D3 (from First Light, Series D)",JamesTurrell,etching and aquatint on paper,,WCMA-PRINTS,1989.5
261,80.29.4,1980-01-01,Girl at Window,Nicholas Monro,color screenprint,,WCMA-PRINTS,1970.0
262,79.36.18,1979-01-01,1972 Olympic Poster,Max Bill,color silkscreen on paper,,WCMA-PRINTS,1970.0
265,79.48,1979-01-01,Album,Allen Jones,prints,see individual screens 79.48.A-H,WCMA-PRINTS,1958.0
266,79.48.G,1979-01-01,"Untitled (from ""Album"")",Allen Jones,color lithograph on paper,,WCMA-PRINTS,1971.0
267,39.4.1,1939-01-01,Side Chair,American,wood | upholstery,yellow upholstery with floral motif,WCMA-DEC ARTS,1905.0
268,79.61,1979-01-01,2 x 5 Trophies,Dieter Roth,prints,see individual screens 79.61.A-K,WCMA-PRINTS,1978.0
269,81.31.53,1981-01-01,Chartres Cathedral,Armin Landeck,etching on paper,,WCMA-PRINTS,1955.0
270,43.2.116,1943-01-01,Windsor Fan-Back with Comb Side Chair,American,wood,,WCMA-DEC ARTS,1777.5
271,78.22.59,1978-01-01,Casita Blanca,Emilio Sanchez,lithograph,,WCMA-PRINTS,1968.0
274,87.14.4,1987-01-01,Le Toucher (from the Five Senses),Pierre Alexandre Aveline,etching on paper,,WCMA-PRINTS,1735.0
275,81.12.1.J,1981-01-01,"Untitled (from ""Dogs"")",Dieter Roth,print,,WCMA-PRINTS,1979.0
277,82.26.61,1982-01-01,Everybody's kind enough to overlook my dribbling,Rube Goldberg,ball-point pen on paper,,WCMA-DRAWING,1926.5
278,81.45.28,1981-01-01,"Lump in Landscape, Atlanta, Georgia",Scott Prior,oil on board,,WCMA-PAINTING,1977.0
279,77.52,1977-01-01,Midnight and Noon/Suite of 8/Homage to the Square,Josef Albers,lithographs,see individual screens 77.52.1-8,WCMA-PRINTS,1932.0
280,62.32.16.D,1962-01-01,Amulet(?) of Hapy,Egyptian,glass paste,blue,WCMA-ANCIENT,-855.0
281,76.37.15.C,1976-01-01,Cross Pendant,Macedonia,bronze,,WCMA-ANCIENT,0.0
282,49.17.62,1949-01-01,"Harper's Weekly p.508 of July 23, 1881 with two small cartoons attached",Thomas Nast,wood engravings on newsprint,small cartoons adhered to newspaper,WCMA-PRINTS,1881.0
283,49.17.62.B,1949-01-01,The Alabama Plan Works Like Magic,Thomas Nast,wood engraving on newsprint mounted to newspaper,,WCMA-PRINTS,1881.0
287,91.15.32,1991-01-01,"Portrait of a Nobleman Dressed in White, Standing Against a Yellow Background",Rajasthan,"opaque watercolor on paper, heightened with gold",,WCMA-EASTERN,1749.5
